"ESTUDIO";"REGISTRO";"CUES";"CCAA";"PROV";"MUN";"CAPITAL";"TAMUNI";"ENTREV";"TIPO_TEL";"SEXO";"EDAD";"P0";"ADQUINAC";"PAISNAC";"PAISNAC2";"P1";"P2_1";"P2_2";"P2_3";"P2_4";"P2_5";"P2_6";"P2_7";"P2_8";"P3";"P4";"PAREJA";"P4A";"P4B";"P4C";"P4D";"P5";"P6_1";"P6_2";"P6_3";"P6_4";"P6_5";"P7_1";"P7_2";"P7_3";"P7_4";"P7_5";"P7_6";"P7_7";"P7_96";"P7_97";"P7_99";"P8";"P9";"P10";"P11";"P12";"PPERHOG";"HIJOS";"NUMHIJOS";"ESCIDEOL";"PROBVOTO";"INTENCIONG";"SIMPATIA";"PARTICIPACIONG";"RECUVOTOG";"RECUERDO";"ESCUELA";"NIVELESTENTREV";"ESTUDIOS";"RELIGION";"PRACTICARELIG6";"SITLAB";"RELALAB";"CNO11";"CNO11R";"INGRESHOG";"INGRESOSHOG2";"CLASESOCIAL";"CLASESUB";"SINCERIDAD";"PESO";"PESOCCAA";"P12R";"INTENCIONGR";"VOTOSIMG";"RECUVOTOGR";"IA_I501";"IA_I502";"IA_I503";"IA_I504";"IA_I505";"IA_I506";"IA_I507";"IA_I508";"IA_I509";"IA_I510";"IA_I511";"IA_I512";"IA_I513";"IA_I514";"IA_I515";"IA_I516";"IA_I517";"IA_I518";"IA_I519";"IA_I520";"IA_I521";"IA_I522";"IA_I523";"IA_I524";"IA_I525";"IA_I526";"IA_I528";"IA_I529";"IA_I530";"IA_I531";"IA_I532";"IA_I533";"IA_I534";"IA_I535";"IA_I536";"IA_I537";"IA_I538";"IA_I539";"IA_I540";"IA_I541";"IA_I542";"IA_I543";"IA_OBS1";"IA_OBS2";"IA_E1_DIA";"IA_E1_MES";"IA_E1_ANYO";"IA_E2";"IA_E3";"IA_E4";"IA_VALIDA";"IA_APLAZADA";"IA_MODIFICADA";"IA_SUPERVISADA";"IA_C2";"IA_C2A";"IA_C2B_26";"IA_C2B_27";"IA_C2B_28";"IA_C2B_29";"IA_C2B_30";"IA_C2B_31";"IA_C2B_32";"IA_C2B_33";"IA_C2B_34";"IA_C2B_35";"IA_C2B_36";"IA_C2B_37";"IA_C2B_38";"IA_C2B_39";"IA_C2B_40";"IA_C2B_41";"IA_C2B_42";"IA_C2B_43";"IA_C2B_44";"IA_C2B_45";"IA_C3";"IA_C4"
3501;150097;3225;16;20;0;3;3;0;2;2;76;1;1;1;0;3;1;2;2;1;2;1;1;1;1;1;2;1966;1;1;1;1;8;2;9;1;8;2;1;1;1;1;1;1;2;2;2;1;1;4;1;98;2;1;3;5;5;9998;1601;1;1601;1601;3;2;2;1;4;2;0;0;12;6;3;11;6;1;4,51883;1,09276;98;9998;1601;1601;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;20;0;0;0;0;17;0;"";"";28;1;25;2;25;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3501;150682;3226;9;8;0;3;2;0;2;2;44;1;2;2;124;2;1;3;1;1;2;1;1;1;3;1;3;2004;1;1;2;2;2;2;2;4;2;1;1;1;1;1;1;2;2;2;2;5;1;4;2;1;4;1;2;3;9;9998;901;1;901;901;3;9;6;4;0;1;3;2;2;10;7;3;2;1;0,83236;1,09434;1;9998;901;901;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;5;0;"";"";28;1;25;2;12;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3501;150885;3227;9;43;148;2;5;0;1;2;59;1;1;1;0;2;1;1;1;1;2;1;1;1;4;1;3;1993;1;1;1;2;1;4;5;5;5;1;1;1;1;2;1;2;2;2;2;3;1;4;2;1;3;1;2;3;10;1;0;1;1;1;3;11;6;2;1;1;3;1;1;10;9;3;2;1;0,451;0,85386;1;1;1;1;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;40;0;0;0;0;47;0;"";"";28;1;25;2;14;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3501;151055;3228;2;50;297;1;6;0;2;2;38;1;1;1;0;2;1;2;3;1;2;1;1;1;4;1;3;2017;1;1;2;2;1;2;2;4;2;1;1;1;1;2;1;1;2;2;2;13;1;4;2;1;3;1;1;4;10;9998;9998;1;1;1;3;11;6;2;1;1;1;5;5;9;8;3;2;1;0,63995;0,87003;1;9998;9998;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;1;0;0;0;0;2;0;0;19;1;0;0;0;33;0;"";"";28;1;25;2;17;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3501;151139;3229;9;8;0;3;4;0;2;2;27;1;1;1;0;3;1;1;1;1;2;1;1;1;4;1;3;2017;1;1;2;1;1;1;4;5;1;1;1;1;1;1;1;1;2;2;2;15;1;3;2;1;2;2;0;4;9;9998;1;1;1;1;3;10;6;6;0;1;1;2;2;8;6;96;6;2;0,60833;0,86767;1;9998;1;1;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;67;0;0;0;0;87;0;"";"";28;1;25;2;14;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3501;151165;3230;18;51;1;1;4;0;2;1;56;1;1;1;0;3;2;1;2;2;2;1;1;1;4;1;3;2010;2;1;2;2;1;2;4;4;2;1;1;1;1;1;1;1;1;2;2;20;5;4;2;1;2;1;1;3;10;21;0;1;1;1;3;11;6;4;0;1;1;3;3;11;9;2;1;1;0,95054;0,75386;1;21;21;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;33;0;0;1;0;44;0;"";"";28;1;25;2;18;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3501;151263;3231;9;8;19;1;7;0;2;1;56;1;1;1;0;4;2;1;2;2;2;2;2;1;7;2;4;0;0;0;0;3;1;1;5;5;1;1;1;1;1;1;2;1;1;2;2;3000;1;3;2;2;1;2;0;3;10;1;0;1;1;1;3;9;6;9;0;1;2;1;1;9;0;3;2;2;0,40802;0,83054;2;1;1;1;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;1;0;75;1;0;0;0;93;1;"";"";30;1;25;4;12;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3501;151375;3232;13;28;58;3;5;0;2;1;52;1;1;1;0;1;2;1;2;1;2;1;1;1;3;1;3;1992;2;1;1;1;1;4;2;4;1;1;1;1;1;2;1;1;2;2;2;1;5;4;1;1;3;1;2;2;10;1;0;1;1;1;3;4;3;4;0;1;1;11;11;8;6;96;6;2;2,34606;1,04193;1;1;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;36;0;1;0;0;41;0;"";"";28;1;25;2;15;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3501;151641;3233;9;8;0;3;3;0;2;1;84;1;1;9;0;1;2;2;2;2;2;2;2;2;1;1;2;1962;2;1;1;1;4;2;2;2;1;1;2;1;1;2;1;1;2;2;2;1;5;3;7;1;2;1;5;4;10;9999;901;1;901;901;3;4;3;2;2;2;0;0;12;8;5;3;2;1;1,81293;1,25763;1;9999;901;901;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;"";"";28;1;25;2;14;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3501;151711;3234;1;18;0;3;2;0;2;1;33;1;1;1;0;2;1;3;1;1;2;1;1;1;4;1;3;2013;2;1;2;2;2;2;8;4;1;1;1;1;1;2;1;1;2;2;2;1;5;4;1;1;2;2;0;3;9;9998;1;1;21;21;3;10;6;6;0;1;1;2;2;9;7;3;2;1;0,57416;1,07496;1;9998;1;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;12;1;"";"";28;1;25;2;13;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
